iter	Passed	Remaining
0	335	83568
1	522	64756
2	702	57840
3	881	54191
4	1063	52130
5	1250	50840
6	1431	49707
7	1627	49246
8	1808	48432
9	1991	47792
10	2171	47184
11	2354	46703
12	2537	46255
13	2714	45763
14	2893	45337
15	3073	44954
16	3254	44604
17	3433	44259
18	3613	43933
19	3794	43640
20	3974	43337
21	4154	43056
22	4329	42733
23	4507	42446
24	4685	42170
25	4870	41959
26	5058	41776
27	5239	41543
28	5416	41274
29	5595	41031
30	5766	40736
31	5943	40486
32	6113	40199
33	6292	39977
34	6465	39719
35	6642	39484
36	6813	39222
37	6992	39011
38	7171	38801
39	7341	38543
40	7516	38314
41	7692	38098
42	7868	37876
43	8037	37630
44	8211	37406
45	8386	37194
46	8564	36992
47	8738	36776
48	8912	36561
49	9087	36351
50	9263	36145
51	9436	35930
52	9607	35710
53	9782	35506
54	9961	35317
55	10136	35114
56	10311	34915
57	10480	34694
58	10654	34490
59	10823	34274
60	10997	34074
61	11176	33890
62	11353	33699
63	11531	33512
64	11709	33327
65	11886	33138
66	12057	32933
67	12228	32728
68	12403	32535
69	12576	32338
70	12752	32150
71	12925	31955
72	13101	31767
73	13274	31570
74	13444	31371
75	13617	31176
76	13791	30986
77	13966	30797
78	14142	30612
79	14317	30424
80	14496	30246
81	14679	30075
82	14856	29891
83	15027	29696
84	15201	29508
85	15370	29310
86	15546	29127
87	15732	28962
88	15911	28784
89	16086	28597
90	16266	28422
91	16439	28233
92	16615	28049
93	16790	27864
94	16964	27678
95	17143	27501
96	17321	27322
97	17492	27131
98	17663	26941
99	17835	26753
100	18007	26565
101	18181	26380
102	18357	26198
103	18533	26018
104	18705	25831
105	18880	25648
106	19056	25468
107	19228	25282
108	19400	25095
109	19573	24912
110	19749	24731
111	19925	24551
112	20099	24368
113	20275	24188
114	20452	24009
115	20626	23827
116	20802	23647
117	20974	23462
118	21156	23290
119	21331	23108
120	21501	22923
121	21682	22748
122	21859	22569
123	22037	22393
124	22208	22208
125	22387	22032
126	22562	21851
127	22735	21669
128	22908	21487
129	23082	21307
130	23258	21127
131	23439	20953
132	23614	20774
133	23789	20593
134	23966	20416
135	24139	20234
136	24321	20060
137	24494	19879
138	24668	19699
139	24843	19519
140	25020	19342
141	25197	19164
142	25373	18985
143	25544	18803
144	25719	18624
145	25899	18448
146	26081	18274
147	26255	18095
148	26430	17916
149	26607	17738
150	26782	17559
151	26962	17383
152	27133	17202
153	27310	17024
154	27483	16844
155	27661	16667
156	27839	16491
157	28019	16315
158	28198	16138
159	28372	15959
160	28547	15781
161	28720	15601
162	28896	15423
163	29073	15245
164	29244	15065
165	29420	14887
166	29596	14709
167	29771	14531
168	29945	14352
169	30121	14174
170	30299	13998
171	30473	13819
172	30647	13640
173	30823	13463
174	30997	13284
175	31172	13106
176	31346	12928
177	31531	12754
178	31714	12579
179	31895	12403
180	32073	12227
181	32247	12048
182	32424	11871
183	32604	11695
184	32779	11517
185	32956	11339
186	33128	11160
187	33303	10982
188	33476	10804
189	33651	10626
190	33827	10449
191	34005	10272
192	34184	10095
193	34363	9919
194	34547	9744
195	34726	9567
196	34908	9391
197	35082	9213
198	35271	9039
199	35448	8862
200	35623	8684
201	35798	8506
202	35973	8328
203	36149	8151
204	36332	7975
205	36507	7797
206	36679	7619
207	36855	7442
208	37034	7265
209	37212	7088
210	37385	6910
211	37558	6732
212	37733	6554
213	37918	6378
214	38095	6201
215	38269	6023
216	38449	5847
217	38626	5669
218	38804	5492
219	38977	5315
220	39154	5137
221	39331	4960
222	39510	4783
223	39688	4606
224	39862	4429
225	40045	4252
226	40222	4075
227	40393	3897
228	40568	3720
229	40743	3542
230	40920	3365
231	41094	3188
232	41275	3011
233	41454	2834
234	41643	2658
235	41819	2480
236	41997	2303
237	42172	2126
238	42343	1948
239	42518	1771
240	42693	1594
241	42869	1417
242	43045	1239
243	43221	1062
244	43397	885
245	43579	708
246	43760	531
247	43941	354
248	44120	177
249	44295	0
